"Date	Julian_Day	Data",,,,,,
"1990-00-00	2448074	-1.698",,,,1990-00-00,2448074,-1.698
"1991-00-00	2448439	-2.090",,,,1991-00-00,2448439,-2.09
"1992-00-00	2448805	-2.464",,,,1992-00-00,2448805,-2.464
"1993-00-00	2449170	-2.852",,,,1993-00-00,2449170,-2.852
"1994-00-00	2449535	-1.895",,,,1994-00-00,2449535,-1.895
"1995-00-00	2449900	-1.947",,,,1995-00-00,2449900,-1.947
"1996-00-00	2450266	-2.633",,,,1996-00-00,2450266,-2.633
"1997-00-00	2450631	-0.319",,,,1997-00-00,2450631,-0.319
"1998-00-00	2450996	-1.531",,,,1998-00-00,2450996,-1.531
"1999-00-00	2451361	-1.600",,,,1999-00-00,2451361,-1.6
"2000-00-00	2451727	-2.336",,,,2000-00-00,2451727,-2.336
"2001-00-00	2452092	-2.014",,,,2001-00-00,2452092,-2.014
"2002-00-00	2452457	-0.961",,,,2002-00-00,2452457,-0.961
"2003-00-00	2452822	-2.373",,,,2003-00-00,2452822,-2.373
"2004-00-00	2453188	-1.856",,,,2004-00-00,2453188,-1.856
"2005-00-00	2453553	-2.194",,,,2005-00-00,2453553,-2.194
"2006-00-00	2453918	-1.105",,,,2006-00-00,2453918,-1.105
