"Date	Julian_Day	Data",,,,年,月,平均,,计算表,1,2,3,4,5,6,7,8,9,10,11,12,,,各年一月,src-1,src1+src2,
"1990-01-00	2447907	-21.981",,,,1990,1,-21.981,,1991,-20.194,-20.779,-14.639,-2.337,6.748,12.77,14.961,12.09,8.5,2.387,-6.893,-17.7,,,1990 ,-21.981,,
"1990-02-00	2447938	-18.014",,,,1990,2,-18.014,,1992,-17.765,-19.783,-14.381,-1.53,6.6,10.597,14.619,10.352,4.1,0.194,-6.34,-16.235,,,1991 ,-20.194,-20.194,src1
"1990-03-00	2447966	-9.245",,,,1990,3,-9.245,,1993,-20.816,-14.254,-9.745,-3.38,3.181,11.3,13.761,11.506,6.3,-0.035,-12.23,-19.816,,,1992 ,-17.765,-17.765,src1
"1990-04-00	2447997	-2.450",,,,1990,4,-2.45,,1994,-22.416,-17.629,-11.226,-2.553,5.6,13.54,14.358,11.955,5.3,-0.055,-3.89,-15.723,,,1993 ,-20.816,-20.816,src1
"1990-05-00	2448027	7.642",,,,1990,5,7.642,,1995,-24.219,-18.339,-10.519,-0.32,4.997,11.283,14.574,12.635,9,0.755,-5.05,-18.155,,,1994 ,-22.416,-22.416,src1
"1990-06-00	2448058	14.137",,,,1990,6,14.137,,1996,-25.968,-18.607,-13.374,-3.95,7.2,12.02,15.452,12.519,6.9,-1.019,-7.9,-14.874,,,1995 ,-24.219,-24.219,src1
"1990-07-00	2448088	13.539",,,,1990,7,13.539,,1997,-19.823,-19.639,-6.116,4.5,9.474,13.14,14.458,12.884,9.5,5.184,-10.237,-17.158,,,1996 ,-25.968,-25.968,src1
"1990-08-00	2448119	11.684",,,,1990,8,11.684,,1998,-26.142,-14.161,-10.306,-3.323,5.229,14.17,15.097,15.829,8.5,1.548,-6.51,-18.3,,,1997 ,-19.823,-19.823,src1
"1990-09-00	2448150	8.100",,,,1990,9,8.1,,1999,-21.987,-14.946,-17.113,-1.567,8.806,11.747,15.639,14.342,7.1,1.977,-6.913,-16.29,,,1998 ,-26.142,-26.142,src1
"1990-10-00	2448180	1.968",,,,1990,10,1.968,,2000,-22.884,-17.824,-12.039,2.393,7.584,12.903,14.948,13.948,9.1,-3.626,-14.017,-18.519,,,1999 ,-21.987,-21.987,src1
"1990-11-00	2448211	-8.410",,,,1990,11,-8.41,,,,,,,,,,,,,,,,,2000 ,-22.884,-22.884,src1
"1990-12-00	2448241	-17.348",,,,1990,12,-17.348,,,,,,,,,,,,,,,,,2001 ,-22.703,-22.70322581,src2
"1991-01-00	2448272	-20.194",,,,1991,1,-20.194,,,,,,,,,,,,,,,,,2002 ,-17.584,-17.58387097,src2
"1991-02-00	2448303	-20.779",,,,1991,2,-20.779,,,,,,,,,,,,,,,,,2003 ,-19.771,-19.77096774,src2
"1991-03-00	2448331	-14.639",,,,1991,3,-14.639,,,,,,,,,,,,,,,,,2004 ,-22.642,-22.64193548,src2
"1991-04-00	2448362	-2.337",,,,1991,4,-2.337,,,,,,,,,,,,,,,,,2005 ,-24.303,-24.30322581,src2
"1991-05-00	2448392	6.748",,,,1991,5,6.748,,,,,,,,,,,,,,,,,2006 ,-22.258,-22.25806452,src2
"1991-06-00	2448423	12.770",,,,1991,6,12.77,,,,,,,,,,,,,,,,,2007 ,,-20.99354839,src2
"1991-07-00	2448453	14.961",,,,1991,7,14.961,,,,,,,,,,,,,,,,,2008 ,,-27.23870968,src2
"1991-08-00	2448484	12.090",,,,1991,8,12.09,,,,,,,,,,,,,,,,,2009 ,,-21.08064516,src2
"1991-09-00	2448515	8.500",,,,1991,9,8.5,,,,,,,,,,,,,,,,,2010 ,,-20.81290323,src2
"1991-10-00	2448545	2.387",,,,1991,10,2.387,,,,,,,,,,,,,,,,,2011 ,,-29.72580645,src2
"1991-11-00	2448576	-6.893",,,,1991,11,-6.893,,,,,,,,,,,,,,,,,2012 ,,-26.36129032,src2
"1991-12-00	2448606	-17.700",,,,1991,12,-17.7,,,,,,,,,,,,,,,,,2013 ,,-18.82258065,src2
