站号,经度,纬度,海拔,年,月,日,均温,高温,低温,20-8降水,8-20降水,20-20降水,小型蒸发量,大型蒸发量,平均风速,最大风速,最大风速时风向,极大风速,极大风速时风向,日照时数,均地温,高地温,低地温,平均湿度,最小湿度,平均气压,最高气压,最低气压,
50434,5030,12128,9936,1957,1,1,-266,-177,-405,32700,31004,31004,0,32766,18,32766,,32766,,0,-260,-172,-440,82,32766,32766,32766,32766,
50434,5030,12128,9936,1957,1,2,-277,-187,-343,32700,0,32700,2,32766,15,32766,,32766,,49,-317,-200,-384,78,32766,32766,32766,32766,
50434,5030,12128,9936,1957,1,3,-356,-244,-430,0,31001,31001,1,32766,15,32766,,32766,,48,-381,-245,-445,77,32766,32766,32766,32766,
50434,5030,12128,9936,1957,1,4,-375,-273,-442,0,0,0,1,32766,0,32766,,32766,,50,-408,-282,-475,78,32766,32766,32766,32766,
50434,5030,12128,9936,1957,1,5,-384,-295,-457,0,0,0,0,32766,3,32766,,32766,,68,-407,-281,-479,78,32766,32766,32766,32766,
50434,5030,12128,9936,1957,1,6,-376,-271,-454,0,31001,31001,2,32766,10,32766,,32766,,32766,-394,-252,-484,78,32766,32766,32766,32766,
50434,5030,12128,9936,1957,1,7,-357,-251,-429,0,0,0,0,32766,10,32766,,32766,,67,-374,-246,-444,75,32766,9360,32766,32766,
50434,5030,12128,9936,1957,1,8,-312,-230,-389,0,31002,31002,1,32766,0,32766,,32766,,27,-340,-185,-430,78,32766,9297,32766,32766,
50434,5030,12128,9936,1957,1,9,-339,-240,-397,31001,32700,31001,2,32766,15,32766,,32766,,44,-345,-218,-415,79,32766,9300,32766,32766,
50434,5030,12128,9936,1957,1,10,-333,-231,-419,0,31001,31001,2,32766,18,32766,,32766,,51,-360,-242,-445,80,32766,9260,32766,32766,
50434,5030,12128,9936,1957,1,11,-282,-236,-306,0,0,0,1,32766,55,32766,,32766,,43,-305,-247,-350,67,32766,9327,32766,32766,
50434,5030,12128,9936,1957,1,12,-320,-256,-427,0,0,0,2,32766,28,32766,,32766,,67,-360,-232,-463,71,32766,9394,32766,32766,
50434,5030,12128,9936,1957,1,13,-309,-211,-374,0,0,0,1,32766,10,32766,,32766,,69,-337,-180,-415,74,32766,9390,32766,32766,
50434,5030,12128,9936,1957,1,14,-337,-217,-415,0,0,0,1,32766,0,32766,,32766,,70,-366,-205,-460,75,32766,9348,32766,32766,
50434,5030,12128,9936,1957,1,15,-325,-238,-389,0,0,0,1,32766,13,32766,,32766,,71,-338,-194,-420,77,32766,9328,32766,32766,
50434,5030,12128,9936,1957,1,16,-324,-212,-377,0,0,0,1,32766,5,32766,,32766,,66,-315,-174,-400,75,32766,9375,32766,32766,
50434,5030,12128,9936,1957,1,17,-323,-207,-386,0,0,0,1,32766,0,32766,,32766,,73,-329,-163,-412,75,32766,9396,32766,32766,
50434,5030,12128,9936,1957,1,18,-325,-222,-393,0,0,0,1,32766,5,32766,,32766,,64,-338,-181,-421,76,32766,9398,32766,32766,
50434,5030,12128,9936,1957,1,19,-329,-239,-386,0,32700,32700,0,32766,10,32766,,32766,,64,-336,-178,-412,78,32766,9405,32766,32766,
50434,5030,12128,9936,1957,1,20,-317,-226,-370,0,32700,32700,2,32766,18,32766,,32766,,66,-318,-187,-400,78,32766,9412,32766,32766,
50434,5030,12128,9936,1957,1,21,-285,-229,-371,31001,0,31001,1,32766,23,32766,,32766,,63,-295,-172,-383,82,32766,9393,32766,32766,
50434,5030,12128,9936,1957,1,22,-308,-224,-374,32700,32700,32700,0,32766,5,32766,,32766,,27,-321,-180,-395,82,32766,9343,32766,32766,
50434,5030,12128,9936,1957,1,23,-298,-195,-368,0,32700,32700,2,32766,3,32766,,32766,,69,-305,-160,-401,79,32766,9275,32766,32766,
50434,5030,12128,9936,1957,1,24,-233,-145,-335,0,0,0,2,32766,8,32766,,32766,,28,-241,-100,-360,76,32766,9266,32766,32766,
50434,5030,12128,9936,1957,1,25,-198,-136,-255,31002,32700,31002,4,32766,28,32766,,32766,,47,-203,-122,-304,78,32766,9239,32766,32766,
50434,5030,12128,9936,1957,1,26,-266,-200,-310,31001,31001,31002,1,32766,10,32766,,32766,,27,-289,-170,-339,81,32766,9246,32766,32766,
50434,5030,12128,9936,1957,1,27,-295,-167,-375,0,0,0,0,32766,10,32766,,32766,,15,-315,-127,-400,82,32766,9285,32766,32766,
50434,5030,12128,9936,1957,1,28,-254,-191,-354,32700,32700,32700,2,32766,3,32766,,32766,,18,-269,-164,-385,83,32766,9303,32766,32766,
50434,5030,12128,9936,1957,1,29,-168,-143,-207,31031,31007,31038,1,32766,25,32766,,32766,,0,-175,-121,-244,80,32766,9272,32766,32766,
50434,5030,12128,9936,1957,1,30,-314,-203,-419,0,0,0,2,32766,28,32766,,32766,,57,-343,-213,-436,69,32766,9307,32766,32766,
50434,5030,12128,9936,1957,1,31,-323,-248,-442,0,0,0,1,32766,20,32766,,32766,,75,-372,-215,-456,75,32766,9319,32766,32766,
50434,5030,12128,9936,1957,2,1,-354,-224,-450,0,0,0,2,32766,3,32766,,32766,,76,-370,-185,-467,72,32766,9381,32766,32766,
50434,5030,12128,9936,1957,2,2,-288,-127,-410,0,0,0,3,32766,15,32766,,32766,,48,-306,-163,-434,66,32766,9385,32766,32766,
50434,5030,12128,9936,1957,2,3,-199,-142,-304,31003,32700,31003,3,32766,23,32766,,32766,,59,-216,-137,-334,75,32766,9329,32766,32766,
50434,5030,12128,9936,1957,2,4,-182,-153,-206,31010,31004,31014,5,32766,30,32766,,32766,,52,-193,-135,-260,78,32766,9332,32766,32766,
50434,5030,12128,9936,1957,2,5,-300,-202,-382,31005,0,31005,3,32766,15,32766,,32766,,62,-325,-187,-413,79,32766,9440,32766,32766,
50434,5030,12128,9936,1957,2,6,-336,-221,-425,0,32700,32700,2,32766,0,32766,,32766,,71,-349,-194,-446,74,32766,9459,32766,32766,
50434,5030,12128,9936,1957,2,7,-268,-201,-362,32700,32700,32700,2,32766,38,32766,,32766,,33,-281,-174,-395,73,32766,9404,32766,32766,
50434,5030,12128,9936,1957,2,8,-240,-210,-280,31009,31007,31016,2,32766,18,32766,,32766,,0,-250,-172,-320,75,32766,9335,32766,32766,
50434,5030,12128,9936,1957,2,9,-315,-212,-413,31002,31003,31005,0,32766,18,32766,,32766,,33,-327,-184,-430,74,32766,9320,32766,32766,
50434,5030,12128,9936,1957,2,10,-236,-213,-265,31003,0,31003,4,32766,25,32766,,32766,,80,-257,-154,-325,67,32766,9382,32766,32766,
50434,5030,12128,9936,1957,2,11,-250,-213,-298,0,0,0,3,32766,35,32766,,32766,,82,-287,-175,-374,64,32766,9381,32766,32766,
50434,5030,12128,9936,1957,2,12,-319,-226,-415,0,0,0,3,32766,18,32766,,32766,,83,-352,-157,-440,71,32766,9353,32766,32766,
50434,5030,12128,9936,1957,2,13,-316,-238,-412,0,31001,31001,1,32766,33,32766,,32766,,48,-313,-182,-428,73,32766,9321,32766,32766,
